Number Of Threads,Without Connectivity,With Connectivity
88,0.07897400856018066,0.10527515411376953
66,0.07790994644165039,0.10575294494628906
44,0.08839893341064453,0.1132049560546875
32,0.07626700401306152,0.10405087471008301
24,0.09700393676757812,0.11865997314453125
16,0.12499213218688965,0.14963316917419434
8,0.20014190673828125,0.23785114288330078
4,0.3609631061553955,0.4143710136413574
2,0.6955549716949463,0.7749741077423096
1,1.3543407917022705,1.486778974533081
