Number Of Threads,Without Connectivity,With Connectivity
88,229.5443708896637,328.2977931499481
66,244.5580050945282,339.8792119026184
44,263.88956093788147,364.51885986328125
32,352.3147759437561,455.1627080440521
24,462.1562719345093,568.1926338672638
16,640.2188699245453,777.8773429393768
8,1094.084921836853,1268.390508890152
4,2043.1976881027222,2322.3342537879944
2,3798.1464438438416,4188.603106975555
1,7609.695347070694,8408.86125612259
