Number Of Threads,Without Connectivity,With Connectivity
88,0.07688784599304199,0.10294485092163086
66,0.07682991027832031,0.10352110862731934
44,0.08494400978088379,0.10133695602416992
32,0.09243202209472656,0.10589599609375
24,0.09168100357055664,0.11390185356140137
16,0.1219930648803711,0.1495039463043213
8,0.20680499076843262,0.23840880393981934
4,0.3872799873352051,0.42241787910461426
2,0.6956789493560791,0.7601430416107178
1,1.337695837020874,1.4744579792022705
